person_id,x,y,timestamp
0,157,0,1769158952.5983665
1,271,0,1769158952.5983665
0,157,0,1769158952.6921968
1,271,0,1769158952.6921968
0,157,0,1769158952.7873826
1,271,0,1769158952.7873826
0,154,0,1769158952.9268138
0,154,0,1769158953.0227768
0,154,0,1769158953.1146805
0,150,0,1769158953.2485504
0,150,0,1769158953.3313546
0,150,0,1769158953.42289
0,149,0,1769158953.5589755
0,149,0,1769158953.6435075
0,149,0,1769158953.7355754
0,149,0,1769158953.8744113
0,149,0,1769158953.9694955
0,149,0,1769158954.0610209
0,147,0,1769158954.1947913
0,147,0,1769158954.2916098
0,147,0,1769158954.386286
0,145,0,1769158954.5357509
0,145,0,1769158954.6180105
0,145,0,1769158954.710991
0,146,0,1769158954.8587906
0,146,0,1769158954.9453459
0,146,0,1769158955.0381498
0,144,0,1769158955.1764948
0,144,0,1769158955.271434
0,144,0,1769158955.3654988
0,139,0,1769158955.520199
0,139,0,1769158955.6154847
0,139,0,1769158955.7112734
0,130,0,1769158956.2145834
0,130,0,1769158956.3048952
0,130,0,1769158956.3989973
2,0,0,1769158959.2901146
0,147,26,1769158959.2901146
2,0,0,1769158959.3841863
0,147,26,1769158959.3851929
2,0,0,1769158959.4777782
0,147,26,1769158959.4777782
2,0,0,1769158959.6367702
2,0,0,1769158959.7280126
2,0,0,1769158959.8213499
2,0,0,1769158960.6562116
2,0,0,1769158960.7521098
2,0,0,1769158960.8465903
2,0,0,1769158960.9832141
2,0,0,1769158961.067148
2,0,0,1769158961.1641822
0,159,13,1769158961.3117607
2,0,0,1769158961.3117607
0,159,13,1769158961.3944552
2,0,0,1769158961.3944552
0,159,13,1769158961.4942958
2,0,0,1769158961.4942958
0,158,11,1769158961.6446054
2,0,0,1769158961.6446054
0,158,11,1769158961.737085
2,0,0,1769158961.737085
0,158,11,1769158961.8205009
2,0,0,1769158961.8205009
2,0,0,1769158961.9617178
0,160,13,1769158961.9617178
2,0,0,1769158962.0464377
0,160,13,1769158962.0464377
2,0,0,1769158962.1356573
0,160,13,1769158962.1366785
2,0,4,1769158962.290255
2,0,4,1769158962.3829207
2,0,4,1769158962.4763365
0,163,23,1769158963.5021732
0,163,23,1769158963.5895045
0,163,23,1769158963.6807058
3,398,52,1769158966.7863367
2,0,4,1769158966.7863367
3,398,52,1769158966.886798
2,0,4,1769158966.886798
3,398,52,1769158966.9767497
2,0,4,1769158966.9767497
3,396,39,1769158967.155583
2,0,1,1769158967.155583
3,396,39,1769158967.2419434
2,0,1,1769158967.2419434
3,396,39,1769158967.3370652
2,0,1,1769158967.3370652
3,398,46,1769158967.527214
2,0,1,1769158967.527214
3,398,46,1769158967.6165822
2,0,1,1769158967.6165822
3,398,46,1769158967.709524
2,0,1,1769158967.709524
3,402,55,1769158967.8900242
2,0,5,1769158967.8900242
3,402,55,1769158967.9863372
2,0,5,1769158967.9863372
3,402,55,1769158968.078086
2,0,5,1769158968.078086
2,0,5,1769158968.6293373
2,0,5,1769158968.7141511
2,0,5,1769158968.8074322
1,306,1,1769158970.6452062
1,306,1,1769158970.7313688
1,306,1,1769158970.818525
1,344,23,1769158973.7159097
1,344,23,1769158973.8096142
1,344,23,1769158973.9016385
2,0,3,1769158974.8292835
2,0,3,1769158974.916854
2,0,3,1769158975.005534
2,0,0,1769158975.148982
2,0,0,1769158975.2445486
2,0,0,1769158975.336497
3,400,44,1769158975.4907374
2,0,0,1769158975.4907374
3,400,44,1769158975.5848832
2,0,0,1769158975.5848832
3,400,44,1769158975.680299
2,0,0,1769158975.680299
3,395,42,1769158975.8270915
2,0,0,1769158975.8270915
3,395,42,1769158975.9154086
2,0,0,1769158975.9154086
3,395,42,1769158976.0069115
2,0,0,1769158976.0079117
2,0,0,1769158976.1773794
3,420,143,1769158976.1773794
2,0,0,1769158976.274207
3,420,143,1769158976.274207
2,0,0,1769158976.3701034
3,420,143,1769158976.3701034
2,0,0,1769158976.5277276
2,0,0,1769158976.615331
2,0,0,1769158976.7080882
2,0,0,1769158976.8615124
2,0,0,1769158976.9552257
2,0,0,1769158977.211952
2,0,0,1769158977.3536892
3,423,168,1769158977.3536892
2,0,0,1769158977.4389389
3,423,168,1769158977.4389389
2,0,0,1769158977.5303946
3,423,168,1769158977.5303946
2,0,0,1769158977.6879475
3,422,169,1769158977.6879475
2,0,0,1769158977.7815974
3,422,169,1769158977.7815974
2,0,0,1769158977.8729382
3,422,169,1769158977.8729382
2,0,0,1769158978.0316434
2,0,0,1769158978.3626957
2,0,0,1769158978.452124
3,403,128,1769158978.6414866
3,403,128,1769158978.7310076
3,403,128,1769158978.823594
0,150,0,1769158979.7413058
0,150,0,1769158979.8332236
0,150,0,1769158979.927712
0,150,0,1769158980.1194558
0,150,0,1769158980.3211613
0,150,0,1769158980.4076993
4,337,120,1769158980.5710487
0,150,0,1769158980.5710487
4,337,120,1769158980.6556134
0,150,0,1769158980.6556134
4,337,120,1769158980.7411847
0,150,0,1769158980.7411847
0,150,0,1769158980.914635
0,150,0,1769158981.000384
0,150,0,1769158981.0943356
2,0,0,1769158981.2719095
0,150,0,1769158981.2719095
2,0,0,1769158981.3609073
0,150,0,1769158981.3609073
2,0,0,1769158981.4515793
0,150,0,1769158981.4515793
0,150,0,1769158981.6496084
2,0,0,1769158981.6496084
3,347,84,1769158981.6496084
0,150,0,1769158981.7455168
2,0,0,1769158981.7455168
3,347,84,1769158981.7455168
0,150,0,1769158981.8357635
2,0,0,1769158981.8357635
3,347,84,1769158981.8357635
3,354,89,1769158982.0109344
0,150,0,1769158982.0109344
2,0,0,1769158982.0109344
